titles,author_journal,abstracts,n_citations,author,journal,page,year
The great escape: Intergenerational mobility in the united states since 1940,NG Hilger - 2015 - nber.org,"… I develop a method to estimate intergenerational mobility (IM) in education on large crosssectional
surveys and apply the method to US census data from 1940 to 2000. The method …",64,NG Hilger,,nber.org,2015
Intergenerational mobility and sample selection in short panels,"M Francesconi, C Nicoletti - Journal of Applied Econometrics, 2006 - Wiley Online Library","… —on measures of intergenerational mobility in occupational … are typically imposed in
intergenerational mobility studies, by … underestimation of the true intergenerational elasticity, the …",100,"M Francesconi, C Nicoletti",Journal of Applied Econometrics,Wiley Online Library,2006
Education as a factor in intergenerational mobility in Soviet society,"M Titma, NB Tuma, K Roosma - European Sociological Review, 2003 - academic.oup.com","… To clarify the role of someone’s own education in intergenerational mobility, we also
include fathers’ education, which is often regarded as a proxy for cultural capital when father’s …",99,"M Titma, NB Tuma, K Roosma",European Sociological Review,academic.oup.com,2003
Intergenerational mobility under private vs. public education,"JB Davies, J Zhang, J Zeng - Scandinavian Journal of …, 2005 - Wiley Online Library","… Current mobility may be quite different. In our model, current mobility is captured naturally by
… This paper analyzes intergenerational mobility in a model where human capital is produced …",68,"JB Davies, J Zhang, J Zeng",Scandinavian Journal of …,Wiley Online Library,2005
Intergenerational Mobility in the U nited S tates and G reat B ritain: A Comparative Study of Parent–Child Pathways,"J Blanden, R Haveman, T Smeeding… - Review of Income and …, 2014 - Wiley Online Library","… societies to have greater intergenerational mobility than others. Comparing … mobility in
the country with: (a) the more smoothly functioning capital market; (b) weaker intergenerational …",67,"J Blanden, R Haveman, T Smeeding…",Review of Income and …,Wiley Online Library,2014
Educational policy and intergenerational mobility,"T Kotera, A Seshadri - Review of economic dynamics, 2017 - Elsevier","… intergenerational mobility significantly. In the third simulation, we find that switching to a full
state funding program also improves intergenerational mobility. … intergenerational mobility …",30,"T Kotera, A Seshadri",Review of economic dynamics,Elsevier,2017
Intergenerational mobility and interpersonal inequality in an African economy,"S Lambert, M Ravallion, D Van de Walle - Journal of Development …, 2014 - Elsevier","… This paper helps fill this gap in our knowledge on intergenerational mobility and the transmission
of inter-personal inequality in a poor, primarily rural, economy. The central question we …",86,"S Lambert, M Ravallion, D Van de Walle",Journal of Development …,Elsevier,2014
Intergenerational mobility and occupational status in Italy,"G Di Pietro, P Urwin - Applied Economics Letters, 2003 - Taylor & Francis","… of intergenerational mobility is considered as the second-highest eigenvalue, 2. As was
the case for , the higher is 2, the lower is the degree of social mobility across generations. …",59,"G Di Pietro, P Urwin",Applied Economics Letters,Taylor & Francis,2003
New estimates of intergenerational mobility using administrative data,"P Mitnik, V Bryant, M Weber… - Statistics of Income …, 2015 - www-personal.umich.edu","… The core of our report rests on presenting a set of key IGEs characterizing intergenerational
mobility in the US Because the IGE plays such a central role in this report, it is useful to begin …",87,"P Mitnik, V Bryant, M Weber…",Statistics of Income …,www-personal.umich.edu,2015
"Family background, neighborhoods and intergenerational mobility","M Mogstad, G Torsvik - 2021 - nber.org","… how different policies affect intergenerational mobility, and will … the research agenda on
intergenerational mobility, we start … empirical studies on intergenerational mobility. This literature …",19,"M Mogstad, G Torsvik",,nber.org,2021
"Economic approach to intergenerational mobility: Measures, methods, and challenges in developing countries","MS Emran, FJ Shilpi - 2019 - econstor.eu","… Our interest in understanding intergenerational mobility in developing countries was originally
stimulated by a discussion with Pranab Bardhan almost a decade ago. We are grateful to …",28,"MS Emran, FJ Shilpi",,econstor.eu,2019
"A comparison of upward and downward intergenerational mobility in Canada, Sweden and the United States","M Corak, MJ Lindquist, B Mazumder - Labour Economics, 2014 - Elsevier","… of intergenerational mobility to try to … of intergenerational mobility across countries. Our
primary contribution is that we provide a rich set of estimates concerning directional rank mobility …",147,"M Corak, MJ Lindquist, B Mazumder",Labour Economics,Elsevier,2014
A comparison of men's and women's intergenerational mobility in the United States,"ID Chase - American Sociological Review, 1975 - JSTOR","… women's intergenerational mobility in the United States; men's occupational mobility is
compared with women's marriage mobility. Women are found to have greater mobility through …",113,ID Chase,American Sociological Review,JSTOR,1975
Allocating opportunities in a dynamic model of intergenerational mobility,"H Heidari, J Kleinberg - Proceedings of the 2021 ACM Conference on …, 2021 - dl.acm.org","… treats other forms of mobility probabilistically in the background… theoretical work on
intergenerational mobility focuses on an … Finally, because our focus is on intergenerational …",8,"H Heidari, J Kleinberg",Proceedings of the  ACM Conference on …,dl.acm.org,2021
Location matters: Historical racial segregation and intergenerational mobility,"R Andrews, M Casey, BL Hardy, TD Logan - Economics Letters, 2017 - Elsevier","This paper explores historical patterns of racial segregation and its relationship with the
observed spatial variation in contemporaneous economic mobility established in Chetty et al. (…",48,"R Andrews, M Casey, BL Hardy, TD Logan",Economics Letters,Elsevier,2017
"Education, intergenerational mobility and inequality","N Chusseau, J Hellier, B Ben-Halima - Growing income inequalities, 2013 - Springer","… Over the same period, intergenerational … in intergenerational mobility have remained
significant across countries. In addition, several works reveal that intergenerational mobility is very …",42,"N Chusseau, J Hellier, B Ben-Halima",Growing income inequalities,Springer,2013
New estimates of intergenerational mobility in Australia,"S Mendolia, P Siminski - Economic Record, 2016 - Wiley Online Library","… This study has analysed intergenerational mobility in Australia, and has generated new …
of intergenerational mobility, and we also use four waves of the PSID study rather than one. …",40,"S Mendolia, P Siminski",Economic Record,Wiley Online Library,2016
